PLAYER FULL NAME,"OWN
TEAM",MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
Chuck Hayes,sacramento,10.6,0,0,0,0,0,0,2,2,4,0,0,1,2,1,0
Andre Iguodala,golden state,27.5,3,7,1,3,0,0,0,4,4,4,1,2,2,1,7
David Lee,golden state,26.3,8,13,0,0,8,9,3,5,8,5,3,0,4,1,24
Andrew Bogut,golden state,17.6,1,2,0,0,0,0,1,7,8,4,4,2,0,2,2
Klay Thompson,golden state,31,15,19,5,7,3,4,1,2,3,1,3,0,1,0,38
Stephen Curry,golden state,23.6,4,10,2,5,0,0,0,4,4,6,4,1,1,0,10
Jermaine O'Neal,golden state,19.5,2,5,0,0,3,4,0,1,1,1,1,1,1,2,7
Draymond Green,golden state,18.6,3,4,1,1,0,0,0,7,7,2,1,0,0,2,7
Marreese Speights,golden state,19.5,2,10,1,2,2,2,1,7,8,3,2,1,0,0,7
Toney Douglas,golden state,24.3,5,8,3,6,0,0,1,3,4,4,1,0,2,0,13
Kent Bazemore,golden state,12.1,2,5,2,2,1,2,0,1,1,4,0,1,1,0,7
Ognjen Kuzmic,golden state,9.5,1,2,0,0,1,2,0,0,0,0,2,0,3,1,3
Nemanja Nedovic,golden state,7.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
